识别时间,交易日,龙头品种,板块,方向,当前涨跌幅,当前增减仓幅度,前20日最高价或最低价,前20日平均涨跌幅绝对值,前20日平均增减仓幅度绝对值,首次突破时间,识别小时,历史窗口开始,历史窗口结束,触发原因
2018-02-26 11:30:00,2018-02-26,CS,谷物淀粉,向上,0.0164816405,0.2831096145,2161.3448266838,0.0042734892,0.0277733077,2018-02-26 09:23:00,2018-02-26 11:00:00,2018-01-22,2018-02-23,high=2188.93 突破前20日高点 2161.34；涨跌幅=1.6482%，超过2倍前20日平均绝对涨跌幅 0.4273%；增仓幅度=28.3110%，超过1.5倍前20日平均绝对增减仓幅度 2.7773%；首次突破时间=2018-02-26 09:23:00
2018-02-26 13:59:00,2018-02-26,CS,谷物淀粉,向上,0.0175164142,0.3198393362,2161.3448266838,0.0042734892,0.0277733077,2018-02-26 09:23:00,2018-02-26 13:00:00,2018-01-22,2018-02-23,high=2188.93 突破前20日高点 2161.34；涨跌幅=1.7516%，超过2倍前20日平均绝对涨跌幅 0.4273%；增仓幅度=31.9839%，超过1.5倍前20日平均绝对增减仓幅度 2.7773%；首次突破时间=2018-02-26 09:23:00
2018-02-26 14:59:00,2018-02-26,CS,谷物淀粉,向上,0.0180638683,0.3225228124,2161.3448266838,0.0042734892,0.0277733077,2018-02-26 09:23:00,2018-02-26 14:00:00,2018-01-22,2018-02-23,high=2188.93 突破前20日高点 2161.34；涨跌幅=1.8064%，超过2倍前20日平均绝对涨跌幅 0.4273%；增仓幅度=32.2523%，超过1.5倍前20日平均绝对增减仓幅度 2.7773%；首次突破时间=2018-02-26 09:23:00
2018-02-26 15:00:00,2018-02-26,CS,谷物淀粉,向上,0.0181912388,0.3217700600,2161.3448266838,0.0042734892,0.0277733077,2018-02-26 09:23:00,2018-02-26 15:00:00,2018-01-22,2018-02-23,high=2188.93 突破前20日高点 2161.34；涨跌幅=1.8191%，超过2倍前20日平均绝对涨跌幅 0.4273%；增仓幅度=32.1770%，超过1.5倍前20日平均绝对增减仓幅度 2.7773%；首次突破时间=2018-02-26 09:23:00
2018-03-02 11:30:00,2018-03-02,RM,油脂油料,向上,0.0361097663,0.0652941758,2487.5401484035,0.0067213638,0.0280921488,2018-03-01 21:41:00,2018-03-02 11:00:00,2018-01-26,2018-03-01,high=2583.3 突破前20日高点 2487.54；涨跌幅=3.6110%，超过2倍前20日平均绝对涨跌幅 0.6721%；增仓幅度=6.5294%，超过1.5倍前20日平均绝对增减仓幅度 2.8092%；首次突破时间=2018-03-01 21:41:00
2018-03-02 11:30:00,2018-03-02,CS,谷物淀粉,向上,0.0153665675,0.1009953839,2188.9315639608,0.0050114279,0.0446408058,2018-03-02 11:09:00,2018-03-02 11:00:00,2018-01-26,2018-03-01,high=2201.01 突破前20日高点 2188.93；涨跌幅=1.5367%，超过2倍前20日平均绝对涨跌幅 0.5011%；增仓幅度=10.0995%，超过1.5倍前20日平均绝对增减仓幅度 4.4641%；首次突破时间=2018-03-02 11:09:00
2018-03-02 13:59:00,2018-03-02,RM,油脂油料,向上,0.0359949332,0.0757510533,2487.5401484035,0.0067213638,0.0280921488,2018-03-01 21:41:00,2018-03-02 13:00:00,2018-01-26,2018-03-01,high=2587.68 突破前20日高点 2487.54；涨跌幅=3.5995%，超过2倍前20日平均绝对涨跌幅 0.6721%；增仓幅度=7.5751%，超过1.5倍前20日平均绝对增减仓幅度 2.8092%；首次突破时间=2018-03-01 21:41:00
2018-03-23 09:59:00,2018-03-23,IF,金融期货,向下,-0.0298597233,-0.0411260997,3956.7760559426,0.0090242700,0.0152649243,2018-03-23 09:31:00,2018-03-23 09:00:00,2018-02-23,2018-03-22,low=3812.54 跌破前20日低点 3956.78；涨跌幅=-2.9860%，超过2倍前20日平均绝对涨跌幅 0.9024%；减仓幅度=-4.1126%，超过1.5倍前20日平均绝对增减仓幅度 1.5265%；首次突破时间=2018-03-23 09:31:00
2018-03-23 10:59:00,2018-03-23,IF,金融期货,向下,-0.0296521781,-0.0352844575,3956.7760559426,0.0090242700,0.0152649243,2018-03-23 09:31:00,2018-03-23 10:00:00,2018-02-23,2018-03-22,low=3812.54 跌破前20日低点 3956.78；涨跌幅=-2.9652%，超过2倍前20日平均绝对涨跌幅 0.9024%；减仓幅度=-3.5284%，超过1.5倍前20日平均绝对增减仓幅度 1.5265%；首次突破时间=2018-03-23 09:31:00
2018-03-23 14:59:00,2018-03-23,RU,橡胶,向下,-0.0651296737,-0.0264374654,12336.6636962337,0.0083215347,0.0130356017,2018-03-22 21:11:00,2018-03-23 14:00:00,2018-02-23,2018-03-22,low=11578.2 跌破前20日低点 12336.7；涨跌幅=-6.5130%，超过2倍前20日平均绝对涨跌幅 0.8322%；减仓幅度=-2.6437%，超过1.5倍前20日平均绝对增减仓幅度 1.3036%；首次突破时间=2018-03-22 21:11:00
2018-03-23 15:00:00,2018-03-23,RU,橡胶,向下,-0.0651237908,-0.0266760122,12336.6636962337,0.0083215347,0.0130356017,2018-03-22 21:11:00,2018-03-23 15:00:00,2018-02-23,2018-03-22,low=11578.2 跌破前20日低点 12336.7；涨跌幅=-6.5124%，超过2倍前20日平均绝对涨跌幅 0.8322%；减仓幅度=-2.6676%，超过1.5倍前20日平均绝对增减仓幅度 1.3036%；首次突破时间=2018-03-22 21:11:00
2018-03-23 15:00:00,2018-03-23,RB,黑色钢矿,向下,-0.0644526593,-0.0504729674,3521.6421824947,0.0099677672,0.0251915316,2018-03-22 21:01:00,2018-03-23 15:00:00,2018-02-23,2018-03-22,low=3289.87 跌破前20日低点 3521.64；涨跌幅=-6.4453%，超过2倍前20日平均绝对涨跌幅 0.9968%；减仓幅度=-5.0473%，超过1.5倍前20日平均绝对增减仓幅度 2.5192%；首次突破时间=2018-03-22 21:01:00
2018-03-30 11:30:00,2018-03-30,M,油脂油料,向上,0.0465062848,0.0617096310,3132.6931120756,0.0076436477,0.0194704372,2018-03-30 11:06:00,2018-03-30 11:00:00,2018-03-02,2018-03-29,high=3159.06 突破前20日高点 3132.69；涨跌幅=4.6506%，超过2倍前20日平均绝对涨跌幅 0.7644%；增仓幅度=6.1710%，超过1.5倍前20日平均绝对增减仓幅度 1.9470%；首次突破时间=2018-03-30 11:06:00
2018-03-30 13:59:00,2018-03-30,M,油脂油料,向上,0.0460260051,0.0716602991,3132.6931120756,0.0076436477,0.0194704372,2018-03-30 11:06:00,2018-03-30 13:00:00,2018-03-02,2018-03-29,high=3167.96 突破前20日高点 3132.69；涨跌幅=4.6026%，超过2倍前20日平均绝对涨跌幅 0.7644%；增仓幅度=7.1660%，超过1.5倍前20日平均绝对增减仓幅度 1.9470%；首次突破时间=2018-03-30 11:06:00
2018-03-30 14:59:00,2018-03-30,M,油脂油料,向上,0.0452907749,0.0672044144,3132.6931120756,0.0076436477,0.0194704372,2018-03-30 11:06:00,2018-03-30 14:00:00,2018-03-02,2018-03-29,high=3167.96 突破前20日高点 3132.69；涨跌幅=4.5291%，超过2倍前20日平均绝对涨跌幅 0.7644%；增仓幅度=6.7204%，超过1.5倍前20日平均绝对增减仓幅度 1.9470%；首次突破时间=2018-03-30 11:06:00
