交易日,龙头品种,跟涨品种,板块,识别时间,开多时间,开多价,平多时间,平多价,税前收益率,净收益率
2020-07-21,AG,AU,贵金属,2020-07-21 10:59:00,2020-07-21 11:00:00,402.984455055043,2020-07-21 15:00:00,404.5385752012,0.003856526291925455,0.003856526291925455
2020-07-22,CF,CY,软商品纺织,2020-07-22 13:59:00,2020-07-22 14:00:00,19503.958358773965,2020-07-22 15:00:00,19235.6703214553,-0.01375556860733207,-0.01375556860733207
2020-07-23,CS,C,谷物淀粉,2020-07-23 09:59:00,2020-07-23 10:00:00,2192.357319047592,2020-07-23 15:00:00,2209.9352494457,0.008017821841990846,0.008017821841990846
2020-07-23,C,CS,谷物淀粉,2020-07-23 13:59:00,2020-07-23 14:00:00,2624.712546953698,2020-07-23 15:00:00,2629.4734850729,0.0018138893437025239,0.0018138893437025239
2020-07-27,RM,M,油脂油料,2020-07-24 22:59:00,2020-07-24 23:00:00,2992.390781729352,2020-07-27 15:00:00,2966.1362608965,-0.008773760764521188,-0.008773760764521188
2020-08-05,AU,AG,贵金属,2020-08-05 02:30:00,2020-08-05 09:01:00,6136.377881401537,2020-08-05 15:00:00,6175.039489869,0.006300395642947709,0.006300395642947709
2020-08-05,AG,AU,贵金属,2020-08-05 01:59:00,2020-08-05 02:00:00,440.3992198935042,2020-08-05 15:00:00,444.659556659,0.009673806339906665,0.009673806339906665
2020-08-06,NR,RU,橡胶,2020-08-06 14:59:00,2020-08-06 15:00:00,12041.477903759458,2020-08-06 15:00:00,12047.4584002477,0.0004966580129150966,0.0004966580129150966
2020-08-24,RU,NR,橡胶,2020-08-24 14:59:00,2020-08-24 15:00:00,9620.789605316437,2020-08-24 15:00:00,9641.5001310054,0.0021526846068349315,0.0021526846068349315
2020-09-02,L,PP,烯烃塑料,2020-09-02 10:59:00,2020-09-02 11:00:00,8046.470138621687,2020-09-02 15:00:00,8063.2696672239,0.0020878134527062553,0.0020878134527062553
2020-09-07,C,CS,谷物淀粉,2020-09-07 14:59:00,2020-09-07 15:00:00,2655.811078282518,2020-09-07 15:00:00,2655.7136252342,-3.6694269827663994e-05,-3.6694269827663994e-05
2020-09-10,CS,C,谷物淀粉,2020-09-10 10:59:00,2020-09-10 11:00:00,2377.129458650156,2020-09-10 15:00:00,2380.4049044795,0.0013778996416982103,0.0013778996416982103
2020-09-11,RM,M,油脂油料,2020-09-11 11:30:00,2020-09-11 13:31:00,2984.2360673455587,2020-09-11 15:00:00,3009.8900308195,0.008596492668477174,0.008596492668477174
2020-09-11,M,RM,油脂油料,2020-09-11 13:59:00,2020-09-11 14:00:00,2403.6707316596967,2020-09-11 15:00:00,2418.4133125348,0.006133361229940126,0.006133361229940126
2020-09-14,B,M,油脂油料,2020-09-14 09:59:00,2020-09-14 10:00:00,3080.004638655543,2020-09-14 15:00:00,3054.728377274,-0.008206566011074723,-0.008206566011074723
2020-09-14,B,RM,油脂油料,2020-09-14 09:59:00,2020-09-14 10:00:00,2477.543176879075,2020-09-14 15:00:00,2449.2156483238,-0.011433717409905508,-0.011433717409905508
2020-10-09,M,B,油脂油料,2020-10-09 10:59:00,2020-10-09 11:00:00,3779.1973269948494,2020-10-09 15:00:00,3772.4720907631,-0.0017795409050781474,-0.0017795409050781474
2020-10-09,CF,CY,软商品纺织,2020-10-09 10:59:00,2020-10-09 11:00:00,19825.4008097166,2020-10-09 15:00:00,19992.2266448139,0.0084147522009006,0.0084147522009006
2020-10-09,RU,NR,橡胶,2020-10-09 09:59:00,2020-10-09 10:00:00,9615.448871383123,2020-10-09 15:00:00,9685.819112628,0.007318456182977329,0.007318456182977329
2020-10-09,M,RM,油脂油料,2020-10-09 10:59:00,2020-10-09 11:00:00,2433.9996193397938,2020-10-09 15:00:00,2441.909286736,0.0032496584359991143,0.0032496584359991143
2020-10-12,RM,B,油脂油料,2020-10-12 11:30:00,2020-10-12 13:31:00,3817.7136031204286,2020-10-12 15:00:00,3830.5823096784,0.0033707888793579333,0.0033707888793579333
2020-10-12,CF,CY,软商品纺织,2020-10-12 09:59:00,2020-10-12 10:00:00,20646.538461538457,2020-10-12 15:00:00,20731.2786901969,0.004104331039137765,0.004104331039137765
2020-10-12,RM,M,油脂油料,2020-10-12 11:30:00,2020-10-12 13:31:00,3185.5274363080093,2020-10-12 15:00:00,3185.2745201649,-7.939537428769405e-05,-7.939537428769405e-05
