交易日,当日收益率,累计净值,回撤
2021-11-30,0.0,1.0291911338552355,-0.018328190429569235
2021-12-01,0.0,1.0291911338552355,-0.018328190429569235
2021-12-02,0.0,1.0291911338552355,-0.018328190429569235
2021-12-03,0.0,1.0291911338552355,-0.018328190429569235
2021-12-06,0.0,1.0291911338552355,-0.018328190429569235
2021-12-07,0.0,1.0291911338552355,-0.018328190429569235
2021-12-08,0.0,1.0291911338552355,-0.018328190429569235
2021-12-09,0.0,1.0291911338552355,-0.018328190429569235
2021-12-10,0.0,1.0291911338552355,-0.018328190429569235
2021-12-13,0.0,1.0291911338552355,-0.018328190429569235
2021-12-14,0.0,1.0291911338552355,-0.018328190429569235
2021-12-15,0.0,1.0291911338552355,-0.018328190429569235
2021-12-16,0.0,1.0291911338552355,-0.018328190429569235
2021-12-17,0.0,1.0291911338552355,-0.018328190429569235
2021-12-20,0.0,1.0291911338552355,-0.018328190429569235
2021-12-21,0.0,1.0291911338552355,-0.018328190429569235
2021-12-22,0.0,1.0291911338552355,-0.018328190429569235
2021-12-23,0.0,1.0291911338552355,-0.018328190429569235
2021-12-24,0.0,1.0291911338552355,-0.018328190429569235
2021-12-27,0.0,1.0291911338552355,-0.018328190429569235
2021-12-28,0.0,1.0291911338552355,-0.018328190429569235
2021-12-29,0.0,1.0291911338552355,-0.018328190429569235
2021-12-30,0.0,1.0291911338552355,-0.018328190429569235
2021-12-31,0.0,1.0291911338552355,-0.018328190429569235
2022-01-04,0.0,1.0291911338552355,-0.018328190429569235
2022-01-05,0.0,1.0291911338552355,-0.018328190429569235
2022-01-06,0.0,1.0291911338552355,-0.018328190429569235
2022-01-07,0.0,1.0291911338552355,-0.018328190429569235
2022-01-10,0.0,1.0291911338552355,-0.018328190429569235
2022-01-11,0.0,1.0291911338552355,-0.018328190429569235
2022-01-12,0.0,1.0291911338552355,-0.018328190429569235
2022-01-13,-0.02204682984919948,1.0065007320448245,-0.03997094178292426
2022-01-14,0.0,1.0065007320448245,-0.03997094178292426
2022-01-17,0.0,1.0065007320448245,-0.03997094178292426
2022-01-18,0.0,1.0065007320448245,-0.03997094178292426
2022-01-19,0.0,1.0065007320448245,-0.03997094178292426
2022-01-20,0.0,1.0065007320448245,-0.03997094178292426
2022-01-21,0.005151352339808346,1.0116855719458624,-0.03502549384759368
2022-01-24,0.0,1.0116855719458624,-0.03502549384759368
2022-01-25,0.0,1.0116855719458624,-0.03502549384759368
2022-01-26,0.0,1.0116855719458624,-0.03502549384759368
2022-01-27,0.0,1.0116855719458624,-0.03502549384759368
2022-01-28,0.0,1.0116855719458624,-0.03502549384759368
2022-02-07,-0.0027671024013542858,1.0088861343703155,-0.037695677120813675
2022-02-08,0.0,1.0088861343703155,-0.037695677120813675
2022-02-09,0.0,1.0088861343703155,-0.037695677120813675
2022-02-10,0.0,1.0088861343703155,-0.037695677120813675
2022-02-11,0.0,1.0088861343703155,-0.037695677120813675
2022-02-14,-0.003885558433027625,1.0049660483429483,-0.04143476679771585
2022-02-15,0.0,1.0049660483429483,-0.04143476679771585
2022-02-16,0.0,1.0049660483429483,-0.04143476679771585
2022-02-17,0.0,1.0049660483429483,-0.04143476679771585
2022-02-18,0.0,1.0049660483429483,-0.04143476679771585
2022-02-21,0.0,1.0049660483429483,-0.04143476679771585
2022-02-22,0.0,1.0049660483429483,-0.04143476679771585
2022-02-23,0.0,1.0049660483429483,-0.04143476679771585
2022-02-24,0.0,1.0049660483429483,-0.04143476679771585
2022-02-25,0.0,1.0049660483429483,-0.04143476679771585
2022-02-28,0.0,1.0049660483429483,-0.04143476679771585
2022-03-01,0.0,1.0049660483429483,-0.04143476679771585
2022-03-02,0.0008281179015175999,1.0057982787179987,-0.04064096176832854
2022-03-03,0.0,1.0057982787179987,-0.04064096176832854
2022-03-04,0.0,1.0057982787179987,-0.04064096176832854
2022-03-07,-0.005692814829896753,1.0000724553610283,-0.04610241512836921
2022-03-08,0.0,1.0000724553610283,-0.04610241512836921
2022-03-09,-0.0010802253291328778,0.9989921517637792,-0.04713283946094615
2022-03-10,0.0,0.9989921517637792,-0.04713283946094615
2022-03-11,0.0,0.9989921517637792,-0.04713283946094615
2022-03-14,0.0,0.9989921517637792,-0.04713283946094615
2022-03-15,0.0,0.9989921517637792,-0.04713283946094615
2022-03-16,0.0,0.9989921517637792,-0.04713283946094615
2022-03-17,0.0,0.9989921517637792,-0.04713283946094615
2022-03-18,0.0,0.9989921517637792,-0.04713283946094615
2022-03-21,0.0,0.9989921517637792,-0.04713283946094615
2022-03-22,0.0,0.9989921517637792,-0.04713283946094615
2022-03-23,0.0,0.9989921517637792,-0.04713283946094615
2022-03-24,0.0,0.9989921517637792,-0.04713283946094615
2022-03-25,0.0,0.9989921517637792,-0.04713283946094615
2022-03-28,0.0,0.9989921517637792,-0.04713283946094615
2022-03-29,0.0,0.9989921517637792,-0.04713283946094615
2022-03-30,0.0,0.9989921517637792,-0.04713283946094615
2022-03-31,0.0,0.9989921517637792,-0.04713283946094615
2022-04-01,0.0,0.9989921517637792,-0.04713283946094615
2022-04-06,0.0,0.9989921517637792,-0.04713283946094615
2022-04-07,0.0,0.9989921517637792,-0.04713283946094615
2022-04-08,0.0,0.9989921517637792,-0.04713283946094615
2022-04-11,0.0,0.9989921517637792,-0.04713283946094615
2022-04-12,0.0,0.9989921517637792,-0.04713283946094615
2022-04-13,0.0,0.9989921517637792,-0.04713283946094615
2022-04-14,0.0,0.9989921517637792,-0.04713283946094615
2022-04-15,0.0,0.9989921517637792,-0.04713283946094615
2022-04-18,0.0,0.9989921517637792,-0.04713283946094615
2022-04-19,0.0,0.9989921517637792,-0.04713283946094615
2022-04-20,0.0,0.9989921517637792,-0.04713283946094615
2022-04-21,0.0,0.9989921517637792,-0.04713283946094615
2022-04-22,0.0,0.9989921517637792,-0.04713283946094615
2022-04-25,0.0,0.9989921517637792,-0.04713283946094615
2022-04-26,0.0,0.9989921517637792,-0.04713283946094615
2022-04-27,0.0,0.9989921517637792,-0.04713283946094615
2022-04-28,0.0,0.9989921517637792,-0.04713283946094615
2022-04-29,0.0,0.9989921517637792,-0.04713283946094615
2022-05-05,0.0,0.9989921517637792,-0.04713283946094615
2022-05-06,0.0,0.9989921517637792,-0.04713283946094615
2022-05-09,0.0,0.9989921517637792,-0.04713283946094615
2022-05-10,0.0,0.9989921517637792,-0.04713283946094615
2022-05-11,0.0,0.9989921517637792,-0.04713283946094615
2022-05-12,-0.013499485066869266,0.9855062721291244,-0.05999605546535325
2022-05-13,0.0,0.9855062721291244,-0.05999605546535325
2022-05-16,0.0,0.9855062721291244,-0.05999605546535325
2022-05-17,0.0,0.9855062721291244,-0.05999605546535325
2022-05-18,0.0,0.9855062721291244,-0.05999605546535325
2022-05-19,0.0,0.9855062721291244,-0.05999605546535325
2022-05-20,0.0,0.9855062721291244,-0.05999605546535325
2022-05-23,0.0,0.9855062721291244,-0.05999605546535325
2022-05-24,0.0,0.9855062721291244,-0.05999605546535325
2022-05-25,0.0,0.9855062721291244,-0.05999605546535325
2022-05-26,0.0,0.9855062721291244,-0.05999605546535325
2022-05-27,0.0,0.9855062721291244,-0.05999605546535325
2022-05-30,0.0,0.9855062721291244,-0.05999605546535325
2022-05-31,0.0,0.9855062721291244,-0.05999605546535325
2022-06-01,0.0,0.9855062721291244,-0.05999605546535325
2022-06-02,0.0,0.9855062721291244,-0.05999605546535325
2022-06-06,-0.005194074210593369,0.9803874794166806,-0.06487850571151665
2022-06-07,0.0,0.9803874794166806,-0.06487850571151665
2022-06-08,0.0,0.9803874794166806,-0.06487850571151665
2022-06-09,-0.013550651801735536,0.967102590052324,-0.0775500114729385
2022-06-10,0.0,0.967102590052324,-0.0775500114729385
2022-06-13,0.0,0.967102590052324,-0.0775500114729385
2022-06-14,0.0,0.967102590052324,-0.0775500114729385
2022-06-15,0.0,0.967102590052324,-0.0775500114729385
2022-06-16,0.0,0.967102590052324,-0.0775500114729385
2022-06-17,0.0,0.967102590052324,-0.0775500114729385
2022-06-20,0.0,0.967102590052324,-0.0775500114729385
2022-06-21,0.0,0.967102590052324,-0.0775500114729385
2022-06-22,0.0,0.967102590052324,-0.0775500114729385
2022-06-23,0.0,0.967102590052324,-0.0775500114729385
2022-06-24,0.0,0.967102590052324,-0.0775500114729385
2022-06-27,0.0,0.967102590052324,-0.0775500114729385
2022-06-28,0.0,0.967102590052324,-0.0775500114729385
2022-06-29,0.0,0.967102590052324,-0.0775500114729385
2022-06-30,0.0,0.967102590052324,-0.0775500114729385
2022-07-01,0.0,0.967102590052324,-0.0775500114729385
2022-07-04,0.0,0.967102590052324,-0.0775500114729385
2022-07-05,0.0,0.967102590052324,-0.0775500114729385
2022-07-06,0.0,0.967102590052324,-0.0775500114729385
2022-07-07,0.0,0.967102590052324,-0.0775500114729385
2022-07-08,0.0,0.967102590052324,-0.0775500114729385
2022-07-11,0.0,0.967102590052324,-0.0775500114729385
2022-07-12,0.0,0.967102590052324,-0.0775500114729385
2022-07-13,0.0,0.967102590052324,-0.0775500114729385
2022-07-14,0.0,0.967102590052324,-0.0775500114729385
2022-07-15,0.0,0.967102590052324,-0.0775500114729385
2022-07-18,0.0,0.967102590052324,-0.0775500114729385
2022-07-19,0.0,0.967102590052324,-0.0775500114729385
2022-07-20,0.0,0.967102590052324,-0.0775500114729385
2022-07-21,0.0,0.967102590052324,-0.0775500114729385
2022-07-22,0.0,0.967102590052324,-0.0775500114729385
2022-07-25,0.0,0.967102590052324,-0.0775500114729385
2022-07-26,0.0,0.967102590052324,-0.0775500114729385
2022-07-27,0.0,0.967102590052324,-0.0775500114729385
2022-07-28,0.0,0.967102590052324,-0.0775500114729385
2022-07-29,0.0,0.967102590052324,-0.0775500114729385
2022-08-01,0.0,0.967102590052324,-0.0775500114729385
2022-08-02,0.0,0.967102590052324,-0.0775500114729385
2022-08-03,0.0,0.967102590052324,-0.0775500114729385
2022-08-04,0.0,0.967102590052324,-0.0775500114729385
2022-08-05,2.660024103517955e-05,0.9671283152143252,-0.07752547408090082
2022-08-08,0.0,0.9671283152143252,-0.07752547408090082
2022-08-09,0.0,0.9671283152143252,-0.07752547408090082
2022-08-10,0.0,0.9671283152143252,-0.07752547408090082
2022-08-11,0.0,0.9671283152143252,-0.07752547408090082
2022-08-12,0.0,0.9671283152143252,-0.07752547408090082
2022-08-15,-0.013439374452933195,0.9541307156421255,-0.08992295465801958
2022-08-16,0.0,0.9541307156421255,-0.08992295465801958
2022-08-17,0.0,0.9541307156421255,-0.08992295465801958
2022-08-18,0.0,0.9541307156421255,-0.08992295465801958
2022-08-19,0.0,0.9541307156421255,-0.08992295465801958
2022-08-22,0.0,0.9541307156421255,-0.08992295465801958
2022-08-23,-0.0008117019340209142,0.95335624589493,-0.0906616659558317
2022-08-24,0.0,0.95335624589493,-0.0906616659558317
2022-08-25,0.0,0.95335624589493,-0.0906616659558317
2022-08-26,0.0,0.95335624589493,-0.0906616659558317
2022-08-29,0.0,0.95335624589493,-0.0906616659558317
2022-08-30,0.0,0.95335624589493,-0.0906616659558317
2022-08-31,0.0,0.95335624589493,-0.0906616659558317
2022-09-01,0.0,0.95335624589493,-0.0906616659558317
2022-09-02,0.0,0.95335624589493,-0.0906616659558317
2022-09-05,0.0,0.95335624589493,-0.0906616659558317
2022-09-06,0.0,0.95335624589493,-0.0906616659558317
2022-09-07,0.0,0.95335624589493,-0.0906616659558317
2022-09-08,0.0,0.95335624589493,-0.0906616659558317
2022-09-09,0.0,0.95335624589493,-0.0906616659558317
2022-09-13,0.004343028569109952,0.957496699307391,-0.0867123835920911
2022-09-14,0.0,0.957496699307391,-0.0867123835920911
2022-09-15,0.0,0.957496699307391,-0.0867123835920911
2022-09-16,0.0,0.957496699307391,-0.0867123835920911
2022-09-19,0.0,0.957496699307391,-0.0867123835920911
2022-09-20,0.0,0.957496699307391,-0.0867123835920911
2022-09-21,0.0,0.957496699307391,-0.0867123835920911
2022-09-22,0.0,0.957496699307391,-0.0867123835920911
2022-09-23,0.0,0.957496699307391,-0.0867123835920911
2022-09-26,0.0,0.957496699307391,-0.0867123835920911
2022-09-27,0.005393512087149999,0.9626609693285116,-0.08178655579395067
2022-09-28,0.0,0.9626609693285116,-0.08178655579395067
2022-09-29,0.0,0.9626609693285116,-0.08178655579395067
