交易日,龙头品种,跟涨品种,板块,识别时间,开空时间,开空价,平空时间,平空价,税前收益率,净收益率
2025-04-07,EG,PR,聚酯产业链,2025-04-07 10:59:00,2025-04-07 11:00:00,5711.653986095216,2025-04-07 15:00:00,5711.442221273,3.707729396751347e-05,3.707729396751347e-05
2025-04-07,EG,PX,聚酯产业链,2025-04-07 10:59:00,2025-04-07 11:00:00,6426.631315341221,2025-04-07 15:00:00,6426.6544637098,-3.601931410801562e-06,-3.601931410801562e-06
2025-04-07,FU,SC,能源油品,2025-04-07 09:59:00,2025-04-07 10:00:00,507.61569748967264,2025-04-07 15:00:00,507.5829764503,6.446441447161e-05,6.446441447161e-05
2025-04-07,EG,TA,聚酯产业链,2025-04-07 10:59:00,2025-04-07 11:00:00,4558.69072858063,2025-04-07 15:00:00,4558.6793637163,2.49301681987113e-06,2.49301681987113e-06
2025-04-07,CU,ZN,有色基本金属,2025-04-07 10:59:00,2025-04-07 11:00:00,22612.356455360103,2025-04-07 15:00:00,22430.9050349997,0.008089349051109362,0.008089349051109362
2025-04-08,NR,BR,橡胶,2025-04-07 21:59:00,2025-04-07 22:00:00,12275.824118063276,2025-04-08 15:00:00,11933.5961025598,0.028677693845367003,0.028677693845367003
2025-04-08,SC,BU,能源油品,2025-04-08 10:59:00,2025-04-08 11:00:00,3303.650520465538,2025-04-08 15:00:00,3311.78992834,-0.002457706572754126,-0.002457706572754126
2025-04-08,PX,EG,聚酯产业链,2025-04-08 09:59:00,2025-04-08 10:00:00,4220.722047872014,2025-04-08 15:00:00,4181.4605198555,0.009389429322621101,0.009389429322621101
2025-04-08,SC,FU,能源油品,2025-04-08 10:59:00,2025-04-08 11:00:00,2888.640738045712,2025-04-08 15:00:00,2880.1188845037,0.0029588547847325675,0.0029588547847325675
2025-04-08,SC,LU,能源油品,2025-04-08 10:59:00,2025-04-08 11:00:00,3381.10930867052,2025-04-08 15:00:00,3381.2646031599,-4.59279315895289e-05,-4.59279315895289e-05
2025-04-08,PX,PF,聚酯产业链,2025-04-08 09:59:00,2025-04-08 10:00:00,6008.0561502449455,2025-04-08 15:00:00,5943.7541011571,0.010818423507010122,0.010818423507010122
2025-04-08,SC,PG,能源油品,2025-04-08 10:59:00,2025-04-08 11:00:00,4492.932223036904,2025-04-08 15:00:00,4451.8170111607,0.009235602400801568,0.009235602400801568
2025-04-08,PX,PR,聚酯产业链,2025-04-08 09:59:00,2025-04-08 10:00:00,5602.940059146599,2025-04-08 15:00:00,5547.8834437973,0.009923895465189458,0.009923895465189458
2025-04-08,NR,RU,橡胶,2025-04-07 21:59:00,2025-04-07 22:00:00,14942.098235743522,2025-04-08 15:00:00,14931.4808406599,0.0007110744873146668,0.0007110744873146668
2025-04-08,PX,TA,聚酯产业链,2025-04-08 09:59:00,2025-04-08 10:00:00,4362.573536177443,2025-04-08 15:00:00,4316.4204980718,0.010692433261833667,0.010692433261833667
2026-02-02,AL,CU,有色基本金属,2026-02-02 14:59:00,2026-02-02 15:00:00,98500.68847636052,2026-02-02 15:00:00,98485.7919513394,0.00015125557429107594,0.00015125557429107594
2026-02-02,AL,NI,有色基本金属,2026-02-02 14:59:00,2026-02-02 15:00:00,129677.3440442732,2026-02-02 15:00:00,129678.9462811115,-1.2355412225661944e-05,-1.2355412225661944e-05
2026-02-02,AL,ZN,有色基本金属,2026-02-02 14:59:00,2026-02-02 15:00:00,24472.530964533016,2026-02-02 15:00:00,24523.8471023142,-0.002092499499246281,-0.002092499499246281
