RETURN_MULTIPLIER,OI_MULTIPLIER,CORRELATION_THRESHOLD,单边费率,交易次数,胜率,累计收益率,年化收益率,最大回撤,年化夏普比率
1.5,2.0,0.6,0.0,201.0,0.5572139303482587,0.010176706876700026,0.0013326035994860597,0.055221754502381426,0.06169923639225237
1.5,2.0,0.6,0.0001,201.0,0.5124378109452736,-0.00863764590465077,-0.00114034199765356,0.06010626183150558,-0.0271345784654557
1.5,2.0,0.7,0.0,165.0,0.5575757575757576,-0.013863540887581571,-0.0018344611385956444,0.06546348523580581,-0.05175285231715199
1.5,2.0,0.7,0.0001,165.0,0.509090909090909,-0.030684998772470662,-0.004090640503471299,0.07763361952367676,-0.13259679735659016
1.5,2.0,0.8,0.0,109.0,0.5321100917431193,-0.034100781665010405,-0.004552931773352031,0.06463231982734319,-0.19871945801122384
1.5,2.0,0.8,0.0001,109.0,0.4954128440366973,-0.04620292548199023,-0.006202342021968343,0.07038901758772009,-0.27426121776791634
1.5,2.0,0.9,0.0,57.0,0.45614035087719296,-0.051562239020157774,-0.00693858008273629,0.07714421196633758,-0.45251687497987203
1.5,2.0,0.9,0.0001,57.0,0.43859649122807015,-0.05875389373570228,-0.007932234902407354,0.08170652485053653,-0.5153410798619047
1.5,2.5,0.5,0.0,136.0,0.5882352941176471,0.0718786362376973,0.009367718308203044,0.04738765853863336,0.36382359472894005
1.5,2.5,0.5,0.0001,136.0,0.5735294117647058,0.05910584228893856,0.007743634983094605,0.047778042967371315,0.30395321772714434
1.5,2.5,0.6,0.0,113.0,0.584070796460177,0.0457783119619799,0.0060308386755094645,0.04738765853863336,0.2533947853682667
1.5,2.5,0.6,0.0001,113.0,0.584070796460177,0.03413856770378376,0.004519420809282693,0.047778042967371204,0.19343544316152278
1.5,2.5,0.7,0.0,94.0,0.5638297872340425,0.012103457867865597,0.0016173837297783766,0.05250810463897171,0.07506974194190845
1.5,2.5,0.7,0.0001,94.0,0.5638297872340425,0.001632992772919728,0.00021920234983152653,0.05308683507938827,0.021404149166302493
1.5,2.5,0.8,0.0,66.0,0.5606060606060606,-0.030492338789992024,-0.004234434802363296,0.06601112449914226,-0.1803703124106984
1.5,2.5,0.8,0.0001,66.0,0.5606060606060606,-0.0384168887413765,-0.00535370791832479,0.0701250627276151,-0.23065947043652593
1.5,2.5,0.9,0.0,30.0,0.5666666666666667,-0.030579382510913966,-0.004664288531214922,0.060014019740394775,-0.30449790542740723
1.5,2.5,0.9,0.0001,30.0,0.5666666666666667,-0.03464895950544988,-0.005294414465914166,0.06246677274701318,-0.3452173788445291
1.5,3.0,0.5,0.0,91.0,0.5824175824175825,0.05309596962844654,0.006973595812463929,0.03225572676814703,0.33843822128395235
1.5,3.0,0.5,0.0001,91.0,0.5384615384615384,0.04596898171038499,0.006055475622709805,0.03419586259577567,0.2962003456637665
1.5,3.0,0.6,0.0,78.0,0.5512820512820513,0.05151318967193119,0.006770162963879445,0.02590583029991056,0.3337704321014639
1.5,3.0,0.6,0.0001,78.0,0.5128205128205128,0.044605531001000065,0.005879214944433109,0.02766295608026026,0.2921292161156311
1.5,3.0,0.7,0.0,65.0,0.5230769230769231,0.03805725210108468,0.005029898043688696,0.031752952020857594,0.2542863614542459
1.5,3.0,0.7,0.0001,65.0,0.47692307692307695,0.031647959769068645,0.004194104494582129,0.0333073485053057,0.21424025605881067
1.5,3.0,0.8,0.0,44.0,0.4772727272727273,9.55166955660669e-05,1.3409035751310583e-05,0.044295650011175525,0.008854052870777245
1.5,3.0,0.8,0.0001,44.0,0.4318181818181818,-0.004893141958501213,-0.0006883971790092591,0.046786182349268235,-0.03448951928816637
1.5,3.0,0.9,0.0,25.0,0.44,-0.03735330327047992,-0.005714399292987782,0.05910094058725146,-0.48934883425642184
1.5,3.0,0.9,0.0001,25.0,0.36,-0.04043654978550426,-0.006194452225124603,0.061180351911933606,-0.526392015429758
1.5,3.5,0.5,0.0,55.0,0.5454545454545454,0.02656960745244219,0.0035286722144862726,0.03733294218256522,0.21062409428087092
1.5,3.5,0.5,0.0001,55.0,0.4727272727272727,0.022067309011555736,0.00293633465965093,0.038663143411284295,0.17711875489992132
1.5,3.5,0.6,0.0,47.0,0.5319148936170213,0.027471316883600716,0.0036470337650467144,0.035600660352961055,0.21772605272783757
1.5,3.5,0.6,0.0001,47.0,0.48936170212765956,0.023169878152910384,0.0030816009052736515,0.036628055313589925,0.1857431677350364
1.5,3.5,0.7,0.0,40.0,0.525,0.031349754072645286,0.004155108129409335,0.026868632625383304,0.25240127158560893
1.5,3.5,0.7,0.0001,40.0,0.5,0.02744379999176716,0.0036434231314719234,0.027652226888825848,0.22298117104831736
1.5,3.5,0.8,0.0,24.0,0.5,0.006395714860360835,0.0009601906550700257,0.022478653353077083,0.07230148576798605
1.5,3.5,0.8,0.0001,24.0,0.4583333333333333,0.003783361472916358,0.0005686252174363915,0.023655553159981135,0.04582923858505942
1.5,3.5,0.9,0.0,14.0,0.42857142857142855,-0.02952011209609362,-0.00450064162534991,0.03680158824501367,-0.5303328977686991
1.5,3.5,0.9,0.0001,14.0,0.42857142857142855,-0.030883824545211325,-0.0047113499452785534,0.03777166028798906,-0.5483245642331083
1.5,4.0,0.5,0.0,36.0,0.5555555555555556,0.03785722362907462,0.006024407026901768,0.0318246610057199,0.32011430775954774
1.5,4.0,0.5,0.0001,36.0,0.5555555555555556,0.0341347355124868,0.005440272945447244,0.032798733138784564,0.2909357055677661
1.5,4.0,0.6,0.0,33.0,0.5757575757575758,0.0382613357212056,0.006087714693049806,0.03218190237405516,0.32266935293628546
1.5,4.0,0.6,0.0001,33.0,0.5757575757575758,0.034537477621953805,0.005503556334666371,0.033155687116321886,0.2935738300088442
1.5,4.0,0.7,0.0,29.0,0.5862068965517241,0.04326387938857246,0.006869700803779688,0.02316042465499968,0.3703750419288458
1.5,4.0,0.7,0.0001,29.0,0.5862068965517241,0.03993902300660879,0.006350318266537869,0.023946256178514425,0.3443850799856832
1.5,4.0,0.8,0.0,18.0,0.5,0.014387437350665833,0.0023117121020568288,0.01887395298763961,0.15762627735548657
1.5,4.0,0.8,0.0001,18.0,0.5,0.01216076260409027,0.0019557447919384963,0.02005446505813946,0.13477603839482083
1.5,4.0,0.9,0.0,10.0,0.5,-0.02061479838132907,-0.0034094140438341025,0.030819977376671415,-0.3629103615050187
1.5,4.0,0.9,0.0001,10.0,0.5,-0.02179360107674,-0.003606179860443981,0.03160118835391401,-0.3810441750809741
1.5,4.5,0.5,0.0,31.0,0.5483870967741935,0.03004089346211747,0.00486463925606917,0.03762708248454716,0.25635337468420866
1.5,4.5,0.5,0.0001,31.0,0.4838709677419355,0.026550192456981758,0.004305514786389963,0.03859648501712298,0.22858230816664749
1.5,4.5,0.6,0.0,28.0,0.5714285714285714,0.03602612156590834,0.005819649526750181,0.03313762742775084,0.3068306070078981
1.5,4.5,0.6,0.0001,28.0,0.5,0.032516337682923835,0.005260185295221431,0.034110648842274105,0.27911195440368847
1.5,4.5,0.7,0.0,25.0,0.6,0.03461896287992072,0.005595537133563866,0.030982614964672472,0.29648177462184916
1.5,4.5,0.7,0.0001,25.0,0.52,0.03152623680877831,0.005102074391422073,0.031763726247468704,0.2719833863937139
1.5,4.5,0.8,0.0,15.0,0.4666666666666667,0.0064169973084968746,0.0010492924789746727,0.024295829883177134,0.07203079875994764
1.5,4.5,0.8,0.0001,15.0,0.4666666666666667,0.004407097177670849,0.0007212413745969481,0.02527596848641367,0.052088057796664
1.5,4.5,0.9,0.0,9.0,0.4444444444444444,-0.02718269644603899,-0.004508260692800192,0.03843957949877008,-0.41280620598634343
1.5,4.5,0.9,0.0001,9.0,0.4444444444444444,-0.028354920031132047,-0.0047050322696254865,0.03921618075586297,-0.42770037143395473
1.5,5.0,0.5,0.0,22.0,0.5909090909090909,0.04133086450216683,0.006662232695421988,0.014835384399908835,0.39211451005411174
1.5,5.0,0.5,0.0001,22.0,0.45454545454545453,0.03905045889294301,0.006300463383739574,0.015244824034980509,0.3729156935009236
1.5,5.0,0.6,0.0,20.0,0.6,0.04126920866207251,0.006652460172974273,0.014835384399908835,0.3915399841904789
1.5,5.0,0.6,0.0001,20.0,0.5,0.038988925752821535,0.0062906924169492395,0.015119133944854979,0.3723368660250141
1.5,5.0,0.7,0.0,19.0,0.631578947368421,0.041616135130957854,0.006707442126185459,0.014835384399908946,0.39470825783994534
