RETURN_MULTIPLIER,OI_MULTIPLIER,CORRELATION_THRESHOLD,单边费率,交易次数,胜率,累计收益率,年化收益率,最大回撤,年化夏普比率
1.5,3.0,0.9,0.0,25.0,0.44,-0.0373533032704799,-0.0057143992929877,0.0591009405872514,-0.4893488342564218
1.5,3.5,0.9,0.0,14.0,0.4285714285714285,-0.0295201120960936,-0.0045006416253499,0.0368015882450136,-0.5303328977686991
1.0,4.0,0.9,0.0,14.0,0.4285714285714285,-0.0347297755456408,-0.0057748684226551,0.0393919954437508,-0.5366252076922192
1.0,4.5,0.9,0.0,13.0,0.3846153846153846,-0.0412030165427869,-0.0068703945316878,0.0469442051665741,-0.5673989272468906
1.0,5.0,0.9,0.0,11.0,0.3636363636363636,-0.0318894081209822,-0.0052961050547026,0.0334759637431798,-0.5747261006715322
1.5,0.5,0.6,0.0,764.0,0.4895287958115183,-0.2384460676754366,-0.0341081596479352,0.2980342462530916,-0.5771505704967448
1.5,0.5,0.7,0.0,592.0,0.4881756756756756,-0.2408647348946987,-0.0344995235549085,0.306001636996199,-0.5923236205217118
1.0,2.5,0.9,0.0,40.0,0.425,-0.0621427380536891,-0.0096116305787637,0.0844893366987267,-0.5984195310303975
1.0,3.5,0.9,0.0,18.0,0.3888888888888889,-0.0435067451731994,-0.0066737768870526,0.0506832801106383,-0.6755442928583671
1.5,0.5,0.5,0.0,937.0,0.4941302027748132,-0.2823562147474782,-0.0413068114835457,0.3273678181262779,-0.6887565350890134
1.0,3.0,0.9,0.0,35.0,0.3714285714285714,-0.0594687613190141,-0.0091870636298174,0.0785160521485093,-0.7180270740491204
1.0,2.0,0.9,0.0,75.0,0.4,-0.1035205452583134,-0.0142701334436013,0.1201163864932977,-0.8058847548754031
3.5,3.5,0.9,0.0,4.0,1.0,0.0128212279761441,23.78930806536443,-0.0,
3.5,4.0,0.9,0.0,4.0,1.0,0.0128212279761441,23.78930806536443,-0.0,
3.5,4.5,0.9,0.0,4.0,1.0,0.0080364566803368,6.5164410165823465,-0.0,
3.5,5.0,0.9,0.0,4.0,1.0,0.0095838611699441,10.063299525891846,-0.0,
4.0,3.5,0.9,0.0,4.0,1.0,0.0080364566803368,6.5164410165823465,-0.0,
